complexNo,complexName,dongNo,dongNm,max_floor,downloadDate
140889,광교에듀포레,1,5001,29,2025-03-11 22:19:39
140889,광교에듀포레,2,5002,20,2025-03-11 22:19:39
140889,광교에듀포레,3,5003,29,2025-03-11 22:19:39
136913,광교더리브,1,6201,26,2025-03-11 22:19:39
136913,광교더리브,2,6202,24,2025-03-11 22:19:39
136913,광교더리브,3,6203,24,2025-03-11 22:19:39
136913,광교더리브,4,6204,23,2025-03-11 22:19:39
136913,광교더리브,5,6205,27,2025-03-11 22:19:39
136913,광교더리브,6,6206,27,2025-03-11 22:19:39
136913,광교더리브,7,6207,27,2025-03-11 22:19:39
136913,광교더리브,8,6208,27,2025-03-11 22:19:39
136913,광교더리브,9,6209,27,2025-03-11 22:19:39
