complexNo,complexName,pyeongNo,pyeongName,pyeongName2,tradeType,year,floor,date,price,pyeongName3,dealDate,dealAmount,dealDateClass,downloadDate
140889,광교에듀포레,2,100B,30B,A1,5,11,2025-01-04,109200,30,2025-01-04,109200,1,2025-03-11 22:19:39
140889,광교에듀포레,2,100B,30B,A1,5,10,2024-10-19,108200,30,2024-10-19,108200,1,2025-03-11 22:19:39
140889,광교에듀포레,2,100B,30B,A1,5,7,2024-09-20,102000,30,2024-09-20,102000,1,2025-03-11 22:19:39
140889,광교에듀포레,2,100B,30B,A1,5,2,2024-05-13,120000,30,2024-05-13,120000,1,2025-03-11 22:19:39
140889,광교에듀포레,1,101A,30A,A1,5,9,2024-08-23,109000,30,2024-08-23,109000,1,2025-03-11 22:19:39
140889,광교에듀포레,1,101A,30A,A1,5,21,2024-06-15,103000,30,2024-06-15,103000,1,2025-03-11 22:19:39
140889,광교에듀포레,1,101A,30A,A1,5,7,2024-02-16,102000,30,2024-02-16,102000,3,2025-03-11 22:19:39
140889,광교에듀포레,1,101A,30A,A1,5,4,2023-07-06,100000,30,2023-07-06,100000,3,2025-03-11 22:19:39
140889,광교에듀포레,1,101A,30A,A1,5,18,2021-04-30,115000,30,2021-04-30,115000,5,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,5,2025-02-04,107000,30,2025-02-04,107000,1,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,16,2024-11-16,107500,30,2024-11-16,107500,1,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,19,2024-11-05,111500,30,2024-11-05,111500,1,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,8,2024-08-23,109000,30,2024-08-23,109000,1,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,12,2024-07-13,102800,30,2024-07-13,102800,1,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,11,2024-06-28,102000,30,2024-06-28,102000,1,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,15,2024-02-16,102000,30,2024-02-16,102000,3,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,2,2023-04-15,89500,30,2023-04-15,89500,3,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,11,2022-11-15,87000,30,2022-11-15,87000,3,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,18,2021-07-31,133000,30,2021-07-31,133000,5,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,6,2021-05-17,113700,30,2021-05-17,113700,5,2025-03-11 22:19:39
140889,광교에듀포레,3,101C,30C,A1,5,18,2021-05-07,100100,30,2021-05-07,100100,5,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,25,2024-12-24,120700,34,2024-12-24,120700,1,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,25,2024-10-31,90000,34,2024-10-31,90000,1,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,3,2024-08-28,109800,34,2024-08-28,109800,1,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,16,2024-08-23,118000,34,2024-08-23,118000,1,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,22,2024-08-15,114500,34,2024-08-15,114500,1,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,14,2024-08-06,112000,34,2024-08-06,112000,1,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,29,2024-07-30,114500,34,2024-07-30,114500,1,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,28,2024-07-16,115000,34,2024-07-16,115000,1,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,13,2024-06-01,111000,34,2024-06-01,111000,1,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,25,2022-07-01,90000,34,2022-07-01,90000,3,2025-03-11 22:19:39
140889,광교에듀포레,4,113A,34A,A1,5,7,2022-05-18,120000,34,2022-05-18,120000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,17,2025-01-20,104000,30,2025-01-20,104000,1,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,11,2024-09-14,100000,30,2024-09-14,100000,1,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,1,2024-07-21,88500,30,2024-07-21,88500,1,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,14,2024-06-29,102000,30,2024-06-29,102000,1,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,13,2024-06-29,102000,30,2024-06-29,102000,1,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,9,2024-06-26,96500,30,2024-06-26,96500,1,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,9,2024-06-20,94000,30,2024-06-20,94000,1,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,2,2024-05-17,85000,30,2024-05-17,85000,1,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,19,2024-04-09,94300,30,2024-04-09,94300,1,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,17,2024-03-22,93500,30,2024-03-22,93500,1,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,26,2024-01-27,89000,30,2024-01-27,89000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,14,2023-07-25,89800,30,2023-07-25,89800,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,5,2023-07-25,90300,30,2023-07-25,90300,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,19,2023-07-19,89700,30,2023-07-19,89700,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,6,2023-07-13,92000,30,2023-07-13,92000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,23,2023-07-08,89800,30,2023-07-08,89800,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,23,2023-07-06,89800,30,2023-07-06,89800,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,11,2023-06-30,88500,30,2023-06-30,88500,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,11,2023-06-09,89800,30,2023-06-09,89800,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,11,2023-05-11,89700,30,2023-05-11,89700,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,9,2023-05-03,87900,30,2023-05-03,87900,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,9,2023-04-19,87000,30,2023-04-19,87000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,15,2023-04-11,87000,30,2023-04-11,87000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,14,2023-02-21,86000,30,2023-02-21,86000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,23,2023-02-17,86000,30,2023-02-17,86000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,5,2023-02-07,83200,30,2023-02-07,83200,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,14,2023-02-07,85000,30,2023-02-07,85000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,13,2023-02-04,80000,30,2023-02-04,80000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,17,2023-02-03,82300,30,2023-02-03,82300,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,10,2023-02-01,78000,30,2023-02-01,78000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,20,2023-01-26,80600,30,2023-01-26,80600,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,7,2022-12-17,79500,30,2022-12-17,79500,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,5,2022-11-30,77000,30,2022-11-30,77000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,18,2022-11-11,78000,30,2022-11-11,78000,3,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,18,2021-12-27,112500,30,2021-12-27,112500,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,24,2021-05-13,103000,30,2021-05-13,103000,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,21,2021-05-06,107000,30,2021-05-06,107000,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,20,2021-04-17,101700,30,2021-04-17,101700,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,4,2021-04-17,102000,30,2021-04-17,102000,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,4,2021-04-03,103000,30,2021-04-03,103000,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,23,2021-02-25,95000,30,2021-02-25,95000,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,13,2021-02-15,88000,30,2021-02-15,88000,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,10,2021-02-04,93500,30,2021-02-04,93500,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,2,2021-01-29,102000,30,2021-01-29,102000,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,11,2021-01-26,88700,30,2021-01-26,88700,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,14,2021-01-06,105000,30,2021-01-06,105000,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,24,2021-01-06,107000,30,2021-01-06,107000,5,2025-03-11 22:19:39
136913,광교더리브,1,99A,30A,A1,5,17,2021-01-05,100000,30,2021-01-05,100000,5,2025-03-11 22:19:39
