aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,matchedRoadAddress,complexNo,downloadDate,complexName,pyeongName,pyeongName2,max_floor,floor_type,dealDate,dealDateClass,pyeongName3
 ,광교더리브,41117-287,1013,0000,2013, , , ,"94,000",16,11,2020, , ,84.92,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2020-11-16,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"116,500",28,12,2020, , ,84.81,26,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2020-12-28,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"98,700",31,12,2020, , ,74.78,13,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2020-12-31,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"98,700",31,12,2020, , ,74.78,13,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2020-12-31,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"94,300",19,12,2020, , ,74.78,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2020-12-19,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"94,300",19,12,2020, , ,74.78,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2020-12-19,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"108,800",17,12,2020, , ,84.92,13,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2020-12-17,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"110,000",22,12,2020, , ,84.81,20,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2020-12-22,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"98,000",17,12,2020, , ,84.81,9,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2020-12-17,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"99,900",4,12,2020, , ,74.78,12,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2020-12-04,5,30
