articleNo,complexNo,articleName,articleRealEstateTypeName,tradeTypeName,floorInfo,priceChangeState,isPriceModification,dealOrWarrantPrc,rentPrc,areaName,pyeongName,area1,area2,direction,articleConfirmYmd,articleFeatureDesc,tagList,buildingName,sameAddrCnt,sameAddrMaxPrc,sameAddrMinPrc,cpName,cpPcArticleUrl,latitude,longitude,realtorName,complexName,매물등록경과일,householdCountByPyeong,dealCount_x,leaseCount_x,rentCount_x,shortTermRentCount_x,roomCnt,bathroomCnt,averageTotalPrice,dealPriceMin2,dealPriceMax2,dealPricePerSpaceMin,dealPricePerSpaceMax,dealPriceString,dealPricePerSpaceString,leasePriceString,leasePricePerSpaceString,leasePriceRateString,rentPriceString,rentDepositPriceMin2,rentPriceMin2,rentDepositPriceMax2,rentPriceMax2,매매매물출현율_x,전세매물출현율_x,월세매물출현율_x,provider,baseYearMonthDay,dealUpperPriceLimit,dealAveragePrice,dealLowPriceLimit,dealAveragePriceChangeAmount,leaseUpperPriceLimit,leaseAveragePrice,leaseLowPriceLimit,leaseAveragePriceChangeAmount,rentLowPrice,deposit,rentUpperPrice,upperPriceLimit,averagePriceLimit,lowPriceLimit,priceChangeAmount,leasePerDealRate,floorType,downloadDate,pyeongName3,buildingName2,dealOrWarrantPrc2,pyeong_max_5,pyeong_max_5_DT,pyeong_avg_5,pyeong_med_5,pyeong_min_5,pyeong_min_5_DT,pyeong_max_3,pyeong_max_3_DT,pyeong_avg_3,pyeong_med_3,pyeong_min_3,pyeong_min_3_DT,pyeong_max_1,pyeong_max_1_DT,pyeong_avg_1,pyeong_med_1,pyeong_min_1,pyeong_min_1_DT,pyeongtype_max_5,pyeongtype_avg_5,pyeongtype_min_5,pyeongtype_max_3,pyeongtype_avg_3,pyeongtype_min_3,pyeongtype_max_1,pyeongtype_avg_1,pyeongtype_min_1,totalHouseholdCount,totalLeaseHouseholdCount,permanentLeaseHouseholdCount,nationLeaseHouseholdCount,civilLeaseHouseholdCount,publicLeaseHouseholdCount,longTermLeaseHouseholdCount,etcLeaseHouseholdCount,highFloor,lowFloor,useApproveYmd,totalDongCount,maxSupplyArea,minSupplyArea,dealCount_y,rentCount_y,leaseCount_y,shortTermRentCount_y,batlRatio,btlRatio,parkingPossibleCount,parkingCountByHousehold,constructionCompanyName,pyoengNames,매매매물출현율_y,전세매물출현율_y,월세매물출현율_y,schoolName,walkTime,latestdealDate,latestdealAmount,latestdealFloor,real_price_median,bubble_score,real_max_5_gap,real_min_5_gap,kb_upper_gap,deal_min_gap
2512266917,140889,광교에듀포레,아파트,매매,20/29,SAME,False,13억,,113A,34A,113,84,남동향,2025-03-08,하시입주가 주인거주로 집상태굿 조용한동 공원뷰  초중고인접,['15년이내' '방세개' '화장실두개' '고층'],5003동,4,13억,13억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512266917,37.28359,127.05342,자연앤힐스테이트(단지내)공인중개사사무소,광교에듀포레,3,115,9,1,0,0,3,2,371194,120000,130000,3498,3790,12억~13억,(3498~3790만원/3.3㎡),7억 9000,(2303만원/3.3㎡),61~66%,,,,,,7.8%,0.0%,0.0%,kbstar,2025-03-07,121000,116000,106500,0,77000,69000,66500,0,215,10000,250,77000,69000,66500,0,62~63%,중층,2025-03-11 22:19:39,34,5003,130000,120700,2024-12-24,110500.0,114500.0,90000,2024-10-31,120700,2024-12-24,110500.0,114500.0,90000,2024-10-31,120700,2024-12-24,111722.22222222222,114500.0,90000,2024-10-31,120700.0,110500.0,90000.0,120700.0,110500.0,90000.0,120700.0,111722.22222222222,90000.0,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,177,12,325,1.45,대창기업(주),"100B㎡, 101A㎡, 101C㎡, 113A㎡",7.1%,0.4%,0.4%,신풍초등학교,2,2024-12-24,120700,25,114500.0,175.0,7.705053852526933%,44.44444444444444%,7.438016528925617%,8.333333333333325%
2512268039,140889,광교에듀포레,아파트,매매,19/29,SAME,False,13억,,113A,34A,113,84,남동향,2025-03-08,로얄동 로얄층 집 상태 깨끗 전망 좋음전철역학원 도보이용,['15년이내' '방세개' '화장실두개' '중층'],5003동,4,13억,13억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512268039,37.28359,127.05342,자연앤힐스테이트(단지내)공인중개사사무소,광교에듀포레,3,115,9,1,0,0,3,2,371194,120000,130000,3498,3790,12억~13억,(3498~3790만원/3.3㎡),7억 9000,(2303만원/3.3㎡),61~66%,,,,,,7.8%,0.0%,0.0%,kbstar,2025-03-07,121000,116000,106500,0,77000,69000,66500,0,215,10000,250,77000,69000,66500,0,62~63%,중층,2025-03-11 22:19:39,34,5003,130000,120700,2024-12-24,110500.0,114500.0,90000,2024-10-31,120700,2024-12-24,110500.0,114500.0,90000,2024-10-31,120700,2024-12-24,111722.22222222222,114500.0,90000,2024-10-31,120700.0,110500.0,90000.0,120700.0,110500.0,90000.0,120700.0,111722.22222222222,90000.0,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,177,12,325,1.45,대창기업(주),"100B㎡, 101A㎡, 101C㎡, 113A㎡",7.1%,0.4%,0.4%,신풍초등학교,2,2024-12-24,120700,25,114500.0,175.0,7.705053852526933%,44.44444444444444%,7.438016528925617%,8.333333333333325%
2512944348,140889,광교에듀포레,아파트,매매,저/29,SAME,False,12억,,101A,30A,101,75,남서향,2025-03-11,채광좋고 트인뷰  초중  학원가 초인접 광교중앙역도보권,['15년이내' '방세개' '화장실두개' '세대당1대'],5001동,1,12억,12억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512944348,37.284092,127.052793,바른부동산중개,광교에듀포레,0,50,4,0,0,0,3,2,331184,110000,125000,3594,4084,11억~12억 5000,(3594~4084만원/3.3㎡),,,,,,,,,8.0%,0.0%,0.0%,kbstar,2025-03-07,110000,106000,96500,0,66500,64500,60000,0,200,10000,210,66500,64500,60000,0,60~62%,저층,2025-03-11 22:19:39,30,5001,120000,133000,2021-07-31,106357.14285714286,107000.0,87000,2022-11-15,120000,2024-05-13,104217.64705882352,103000.0,87000,2022-11-15,120000,2024-05-13,107600.0,107850.0,102000,2024-09-20,115000.0,105800.0,100000.0,109000.0,103500.0,100000.0,109000.0,106000.0,103000.0,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,177,12,325,1.45,대창기업(주),"100B㎡, 101A㎡, 101C㎡, 113A㎡",7.1%,0.4%,0.4%,신풍초등학교,2,2025-02-04,107000,5,107000.0,75.0,-9.774436090225569%,37.93103448275863%,9.090909090909083%,9.090909090909083%
2512898081,140889,광교에듀포레,아파트,전세,저/29,SAME,False,7억 9000,,113A,34A,113,84,남동향,2025-03-11,예쁜숲뷰햇살 밝은집관리 잘된 깨끗한집입주일협의,['15년이내' '방세개' '화장실두개' '세대당1대'],5003동,1,7억 9000,7억 9000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512898081,37.28359,127.05342,광교로뎀공인,광교에듀포레,0,115,9,1,0,0,3,2,371194,120000,130000,3498,3790,12억~13억,(3498~3790만원/3.3㎡),7억 9000,(2303만원/3.3㎡),61~66%,,,,,,7.8%,0.0%,0.0%,kbstar,2025-03-07,121000,116000,106500,0,77000,69000,66500,0,215,10000,250,77000,69000,66500,0,62~63%,저층,2025-03-11 22:19:39,34,5003,79000,120700,2024-12-24,110500.0,114500.0,90000,2024-10-31,120700,2024-12-24,110500.0,114500.0,90000,2024-10-31,120700,2024-12-24,111722.22222222222,114500.0,90000,2024-10-31,120700.0,110500.0,90000.0,120700.0,110500.0,90000.0,120700.0,111722.22222222222,90000.0,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,177,12,325,1.45,대창기업(주),"100B㎡, 101A㎡, 101C㎡, 113A㎡",7.1%,0.4%,0.4%,신풍초등학교,2,2024-12-24,120700,25,114500.0,,,,,
2512767503,140889,광교에듀포레,아파트,매매,저/20,SAME,False,11억 5000,,100B,30B,100,75,남서향,2025-03-11,판상형.입주일협의.초.중바로앞.광교학원가.전철역 도보7분.혜령호수공원산책,['15년이내' '방세개' '화장실두개' '세대당1대'],5002동,4,11억 5000,11억 5000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512767503,37.283678,127.052822,광교에듀포레공인중개사사무소,광교에듀포레,0,18,3,0,1,0,3,2,330353,105000,122000,3439,3996,10억 5000~12억 2000,(3439~3996만원/3.3㎡),,,,1억/230,10000.0,230.0,10000.0,230.0,16.7%,5.6%,0.0%,kbstar,2025-03-07,110000,106000,96500,0,66500,64500,60000,0,200,10000,210,66500,64500,60000,0,60~62%,저층,2025-03-11 22:19:39,30,5002,115000,133000,2021-07-31,106357.14285714286,107000.0,87000,2022-11-15,120000,2024-05-13,104217.64705882352,103000.0,87000,2022-11-15,120000,2024-05-13,107600.0,107850.0,102000,2024-09-20,120000.0,109850.0,102000.0,120000.0,109850.0,102000.0,120000.0,109850.0,102000.0,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,177,12,325,1.45,대창기업(주),"100B㎡, 101A㎡, 101C㎡, 113A㎡",7.1%,0.4%,0.4%,신풍초등학교,2,2025-02-04,107000,5,107000.0,65.38461538461539,-13.533834586466165%,32.18390804597702%,4.545454545454541%,9.523809523809534%
2512933527,140889,광교에듀포레,아파트,월세,저/20,SAME,False,1억,230.0,100B,30B,100,75,남서향,2025-03-11,전망좋고 광교중앙역이용 편리 입주협의 백화점 호수공원학교학원이용편리,['15년이내' '방세개' '화장실두개' '세대당1대'],5002동,4,1억/230,1억/230,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512933527,37.283678,127.052822,자연앤힐스테이트(단지내)공인중개사사무소,광교에듀포레,0,18,3,0,1,0,3,2,330353,105000,122000,3439,3996,10억 5000~12억 2000,(3439~3996만원/3.3㎡),,,,1억/230,10000.0,230.0,10000.0,230.0,16.7%,5.6%,0.0%,kbstar,2025-03-07,110000,106000,96500,0,66500,64500,60000,0,200,10000,210,66500,64500,60000,0,60~62%,저층,2025-03-11 22:19:39,30,5002,10000,133000,2021-07-31,106357.14285714286,107000.0,87000,2022-11-15,120000,2024-05-13,104217.64705882352,103000.0,87000,2022-11-15,120000,2024-05-13,107600.0,107850.0,102000,2024-09-20,120000.0,109850.0,102000.0,120000.0,109850.0,102000.0,120000.0,109850.0,102000.0,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,177,12,325,1.45,대창기업(주),"100B㎡, 101A㎡, 101C㎡, 113A㎡",7.1%,0.4%,0.4%,신풍초등학교,2,2025-02-04,107000,5,107000.0,,,,,
2512619435,140889,광교에듀포레,아파트,매매,저/29,SAME,False,13억,,113A,34A,113,84,남동향,2025-03-10,33주인거주날짜협의가능금액협의가능,['15년이내' '방세개' '화장실두개' '세대당1대'],5003동,1,13억,13억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2512619435,37.28359,127.05342,힐스탑(204-4002)공인중개사사무소,광교에듀포레,1,115,9,1,0,0,3,2,371194,120000,130000,3498,3790,12억~13억,(3498~3790만원/3.3㎡),7억 9000,(2303만원/3.3㎡),61~66%,,,,,,7.8%,0.0%,0.0%,kbstar,2025-03-07,121000,116000,106500,0,77000,69000,66500,0,215,10000,250,77000,69000,66500,0,62~63%,저층,2025-03-11 22:19:39,34,5003,130000,120700,2024-12-24,110500.0,114500.0,90000,2024-10-31,120700,2024-12-24,110500.0,114500.0,90000,2024-10-31,120700,2024-12-24,111722.22222222222,114500.0,90000,2024-10-31,120700.0,110500.0,90000.0,120700.0,110500.0,90000.0,120700.0,111722.22222222222,90000.0,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,177,12,325,1.45,대창기업(주),"100B㎡, 101A㎡, 101C㎡, 113A㎡",7.1%,0.4%,0.4%,신풍초등학교,2,2024-12-24,120700,25,114500.0,175.0,7.705053852526933%,44.44444444444444%,7.438016528925617%,8.333333333333325%
2511892125,140889,광교에듀포레,아파트,매매,저/29,SAME,False,12억,,101A,30A,101,75,남서향,2025-03-07,판상형.거실.방 넓음.주인거주 집 깨끗.초.중바로앞.학원가.전철역도보.,['15년이내' '방세개' '화장실두개' '세대당1대'],5003동,1,12억,12억,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2511892125,37.28359,127.05342,광교에듀포레공인중개사사무소,광교에듀포레,4,50,4,0,0,0,3,2,331184,110000,125000,3594,4084,11억~12억 5000,(3594~4084만원/3.3㎡),,,,,,,,,8.0%,0.0%,0.0%,kbstar,2025-03-07,110000,106000,96500,0,66500,64500,60000,0,200,10000,210,66500,64500,60000,0,60~62%,저층,2025-03-11 22:19:39,30,5003,120000,133000,2021-07-31,106357.14285714286,107000.0,87000,2022-11-15,120000,2024-05-13,104217.64705882352,103000.0,87000,2022-11-15,120000,2024-05-13,107600.0,107850.0,102000,2024-09-20,115000.0,105800.0,100000.0,109000.0,103500.0,100000.0,109000.0,106000.0,103000.0,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,177,12,325,1.45,대창기업(주),"100B㎡, 101A㎡, 101C㎡, 113A㎡",7.1%,0.4%,0.4%,신풍초등학교,2,2025-02-04,107000,5,107000.0,75.0,-9.774436090225569%,37.93103448275863%,9.090909090909083%,9.090909090909083%
2511881467,140889,광교에듀포레,아파트,매매,저/29,SAME,False,12억 2000,,113A,34A,113,84,남서향,2025-03-07,주인거주 입주협의 언제든지 채광 조경조망 좋은집,['15년이내' '방세개' '화장실두개' '세대당1대'],5003동,2,12억 2000,12억 2000,부동산렛츠,http://rego.kr/rd/rd.asp?UID=2511881467,37.28359,127.05342,동행(광교)공인중개사사무소,광교에듀포레,4,115,9,1,0,0,3,2,371194,120000,130000,3498,3790,12억~13억,(3498~3790만원/3.3㎡),7억 9000,(2303만원/3.3㎡),61~66%,,,,,,7.8%,0.0%,0.0%,kbstar,2025-03-07,121000,116000,106500,0,77000,69000,66500,0,215,10000,250,77000,69000,66500,0,62~63%,저층,2025-03-11 22:19:39,34,5003,122000,120700,2024-12-24,110500.0,114500.0,90000,2024-10-31,120700,2024-12-24,110500.0,114500.0,90000,2024-10-31,120700,2024-12-24,111722.22222222222,114500.0,90000,2024-10-31,120700.0,110500.0,90000.0,120700.0,110500.0,90000.0,120700.0,111722.22222222222,90000.0,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,177,12,325,1.45,대창기업(주),"100B㎡, 101A㎡, 101C㎡, 113A㎡",7.1%,0.4%,0.4%,신풍초등학교,2,2024-12-24,120700,25,114500.0,110.48387096774194,1.0770505385252704%,35.555555555555564%,0.8264462809917328%,1.6666666666666607%
2511890819,140889,광교에듀포레,아파트,매매,저/20,INCREASE,True,10억 5000,,100B,30B,100,75,남서향,2025-03-07,입주협의.초.중 .학원 가까움.전철역도보7분.아울렛.백화점.호수공원가까움,['15년이내' '방세개' '화장실두개' '세대당1대'],5002동,2,10억 5000,10억 5000,매경부동산,http://land.mk.co.kr/rd/rd.php?UID=2511890819,37.283678,127.052822,광교에듀포레공인중개사사무소,광교에듀포레,4,18,3,0,1,0,3,2,330353,105000,122000,3439,3996,10억 5000~12억 2000,(3439~3996만원/3.3㎡),,,,1억/230,10000.0,230.0,10000.0,230.0,16.7%,5.6%,0.0%,kbstar,2025-03-07,110000,106000,96500,0,66500,64500,60000,0,200,10000,210,66500,64500,60000,0,60~62%,저층,2025-03-11 22:19:39,30,5002,105000,133000,2021-07-31,106357.14285714286,107000.0,87000,2022-11-15,120000,2024-05-13,104217.64705882352,103000.0,87000,2022-11-15,120000,2024-05-13,107600.0,107850.0,102000,2024-09-20,120000.0,109850.0,102000.0,120000.0,109850.0,102000.0,120000.0,109850.0,102000.0,224,2,0,0,0,2,0,0,29,18,2014-06-26,3,113.4,100.92,16,1,1,0,177,12,325,1.45,대창기업(주),"100B㎡, 101A㎡, 101C㎡, 113A㎡",7.1%,0.4%,0.4%,신풍초등학교,2,2025-02-04,107000,5,107000.0,45.0,-21.052631578947366%,20.68965517241379%,-4.545454545454541%,0.0%
